date,BTC_USD,ETH_USD,NASDAQ,SP500,DAX
2023-02-23,23947.4921875,1651.0738525390625,11590.400390625,4012.320068359375,15475.6904296875
2023-02-24,23198.126953125,1608.3731689453125,11394.9404296875,3970.0400390625,15209.740234375
2023-02-25,23175.375,1594.9149169921875,11394.9404296875,3970.0400390625,15209.740234375
2023-02-26,23561.212890625,1640.817138671875,11394.9404296875,3970.0400390625,15209.740234375
2023-02-27,23522.87109375,1634.326416015625,11466.98046875,3982.239990234375,15381.4296875
2023-02-28,23147.353515625,1605.8951416015625,11455.5400390625,3970.14990234375,15365.1396484375
2023-03-01,23646.55078125,1663.4337158203125,11379.48046875,3951.389892578125,15305.01953125
2023-03-02,23475.466796875,1647.3193359375,11462.98046875,3981.35009765625,15327.6396484375
2023-03-03,22362.6796875,1569.1676025390625,11689.009765625,4045.639892578125,15578.3896484375
2023-03-04,22353.349609375,1566.9239501953125,11689.009765625,4045.639892578125,15578.3896484375
2023-03-05,22435.513671875,1564.46875,11689.009765625,4045.639892578125,15578.3896484375
2023-03-06,22429.7578125,1567.398681640625,11675.740234375,4048.419921875,15653.580078125
2023-03-07,22219.76953125,1561.93310546875,11530.330078125,3986.3701171875,15559.5302734375
2023-03-08,21718.080078125,1534.0882568359375,11576.0,3992.010009765625,15631.8701171875
2023-03-09,20363.021484375,1438.6607666015625,11338.349609375,3918.320068359375,15633.2099609375
2023-03-10,20187.244140625,1429.1580810546875,11138.8896484375,3861.590087890625,15427.9697265625
2023-03-11,20632.41015625,1482.61669921875,11138.8896484375,3861.590087890625,15427.9697265625
2023-03-12,22163.94921875,1590.29296875,11138.8896484375,3861.590087890625,15427.9697265625
2023-03-13,24197.533203125,1680.3089599609375,11188.83984375,3855.760009765625,14959.4697265625
2023-03-14,24746.07421875,1703.507080078125,11428.150390625,3919.2900390625,15232.830078125
2023-03-15,24375.9609375,1656.1805419921875,11434.0498046875,3891.929931640625,14735.259765625
2023-03-16,25052.7890625,1677.2154541015625,11717.2802734375,3960.280029296875,14967.099609375
2023-03-17,27423.9296875,1792.485107421875,11630.509765625,3916.639892578125,14768.2001953125
2023-03-18,26965.87890625,1761.65966796875,11630.509765625,3916.639892578125,14768.2001953125
2023-03-19,28038.67578125,1785.5765380859375,11630.509765625,3916.639892578125,14768.2001953125
2023-03-20,27767.236328125,1735.3212890625,11675.5400390625,3951.570068359375,14933.3798828125
2023-03-21,28175.81640625,1806.7607421875,11860.1103515625,4002.8701171875,15195.33984375
2023-03-22,27307.4375,1737.717041015625,11669.9599609375,3936.969970703125,15216.1904296875
2023-03-23,28333.97265625,1816.4051513671875,11787.400390625,3948.719970703125,15210.3896484375
2023-03-24,27493.28515625,1752.0447998046875,11823.9599609375,3970.989990234375,14957.23046875
2023-03-25,27494.70703125,1743.7647705078125,11823.9599609375,3970.989990234375,14957.23046875
2023-03-26,27994.330078125,1775.6767578125,11823.9599609375,3970.989990234375,14957.23046875
2023-03-27,27139.888671875,1715.4608154296875,11768.83984375,3977.530029296875,15127.6796875
2023-03-28,27268.130859375,1772.78564453125,11716.080078125,3971.27001953125,15142.01953125
2023-03-29,28348.44140625,1793.0018310546875,11926.240234375,4027.81005859375,15328.7802734375
2023-03-30,28033.5625,1792.7371826171875,12013.4697265625,4050.830078125,15522.400390625
2023-03-31,28478.484375,1822.0220947265625,12221.91015625,4109.31005859375,15628.83984375
2023-04-01,28411.03515625,1813.860595703125,12221.91015625,4109.31005859375,15628.83984375
2023-04-02,28199.30859375,1795.7081298828125,12221.91015625,4109.31005859375,15628.83984375
2023-04-03,27790.220703125,1810.297119140625,12189.4501953125,4124.509765625,15580.919921875
2023-04-04,28168.08984375,1871.005126953125,12126.330078125,4100.60009765625,15603.4697265625
2023-04-05,28177.984375,1909.114013671875,11996.8603515625,4090.3798828125,15520.169921875
2023-04-06,28044.140625,1872.922607421875,12087.9599609375,4105.02001953125,15597.8896484375
2023-04-07,27925.859375,1865.6361083984375,12087.9599609375,4105.02001953125,15597.8896484375
2023-04-08,27947.794921875,1849.4981689453125,12087.9599609375,4105.02001953125,15597.8896484375
2023-04-09,28333.05078125,1859.3878173828125,12087.9599609375,4105.02001953125,15597.8896484375
2023-04-10,29652.98046875,1911.20751953125,12084.3603515625,4109.10986328125,15597.8896484375
2023-04-11,30235.05859375,1892.189697265625,12031.8798828125,4108.93994140625,15655.169921875
2023-04-12,30139.052734375,1920.68212890625,11929.33984375,4091.949951171875,15703.599609375
2023-04-13,30399.06640625,2012.6346435546875,12166.26953125,4146.22021484375,15729.4599609375
2023-04-14,30485.69921875,2101.635498046875,12123.4697265625,4137.64013671875,15807.5
2023-04-15,30318.49609375,2092.466796875,12123.4697265625,4137.64013671875,15807.5
2023-04-16,30315.35546875,2120.005859375,12123.4697265625,4137.64013671875,15807.5
2023-04-17,29445.044921875,2076.242919921875,12157.7197265625,4151.31982421875,15789.5302734375
2023-04-18,30397.552734375,2104.537353515625,12153.41015625,4154.8701171875,15882.669921875
2023-04-19,28822.6796875,1936.4034423828125,12157.23046875,4154.52001953125,15895.2001953125
2023-04-20,28245.98828125,1943.09765625,12059.5595703125,4129.7900390625,15795.9697265625
2023-04-21,27276.91015625,1849.9998779296875,12072.4599609375,4133.52001953125,15881.66015625
2023-04-22,27817.5,1874.2286376953125,12072.4599609375,4133.52001953125,15881.66015625
2023-04-23,27591.384765625,1862.06201171875,12072.4599609375,4133.52001953125,15881.66015625
2023-04-24,27525.33984375,1842.7574462890625,12037.2001953125,4137.0400390625,15863.9501953125
2023-04-25,28307.59765625,1866.753662109375,11799.16015625,4071.6298828125,15872.1298828125
2023-04-26,28422.701171875,1866.564208984375,11854.349609375,4055.989990234375,15795.73046875
2023-04-27,29473.787109375,1908.786376953125,12142.240234375,4135.35009765625,15800.4501953125
2023-04-28,29340.26171875,1892.5128173828125,12226.580078125,4169.47998046875,15922.3798828125
2023-04-29,29248.48828125,1908.9169921875,12226.580078125,4169.47998046875,15922.3798828125
2023-04-30,29268.806640625,1876.92431640625,12226.580078125,4169.47998046875,15922.3798828125
2023-05-01,28091.568359375,1831.954833984375,12212.599609375,4167.8701171875,15922.3798828125
2023-05-02,28680.537109375,1870.789306640625,12080.509765625,4119.580078125,15726.9404296875
2023-05-03,29006.30859375,1904.65185546875,12025.330078125,4090.75,15815.0595703125
2023-05-04,28847.7109375,1877.7041015625,11966.400390625,4061.219970703125,15734.240234375
2023-05-05,29534.384765625,1995.0609130859375,12235.41015625,4136.25,15961.01953125
2023-05-06,28904.623046875,1900.2218017578125,12235.41015625,4136.25,15961.01953125
2023-05-07,28454.978515625,1873.076416015625,12235.41015625,4136.25,15961.01953125
2023-05-08,27694.2734375,1849.042724609375,12256.919921875,4138.1201171875,15952.830078125
2023-05-09,27658.775390625,1848.6031494140625,12179.5498046875,4119.169921875,15955.48046875
2023-05-10,27621.755859375,1842.4014892578125,12306.4404296875,4137.64013671875,15896.23046875
2023-05-11,27000.7890625,1796.4906005859375,12328.509765625,4130.6201171875,15834.91015625
2023-05-12,26804.990234375,1808.019775390625,12284.740234375,4124.080078125,15913.8203125
2023-05-13,26784.078125,1796.1148681640625,12284.740234375,4124.080078125,15913.8203125
2023-05-14,26930.638671875,1800.5009765625,12284.740234375,4124.080078125,15913.8203125
2023-05-15,27192.693359375,1817.5499267578125,12365.2099609375,4136.27978515625,15917.240234375
2023-05-16,27036.650390625,1824.1214599609375,12343.0498046875,4109.89990234375,15897.9296875
2023-05-17,27398.802734375,1821.859619140625,12500.5703125,4158.77001953125,15951.2998046875
2023-05-18,26832.208984375,1801.728515625,12688.83984375,4198.0498046875,16163.3603515625
2023-05-19,26890.12890625,1812.5894775390625,12657.900390625,4191.97998046875,16275.3798828125
2023-05-20,27129.5859375,1820.47802734375,12657.900390625,4191.97998046875,16275.3798828125
2023-05-21,26753.826171875,1804.5313720703125,12657.900390625,4191.97998046875,16275.3798828125
2023-05-22,26851.27734375,1817.5347900390625,12720.7802734375,4192.6298828125,16223.990234375
2023-05-23,27225.7265625,1854.380615234375,12560.25,4145.580078125,16152.8603515625
2023-05-24,26334.818359375,1800.0999755859375,12484.16015625,4115.240234375,15842.1298828125
2023-05-25,26476.20703125,1805.9537353515625,12698.08984375,4151.27978515625,15793.7998046875
2023-05-26,26719.291015625,1828.689697265625,12975.6904296875,4205.4501953125,15983.9697265625
2023-05-27,26868.353515625,1831.1182861328125,12975.6904296875,4205.4501953125,15983.9697265625
2023-05-28,28085.646484375,1910.9141845703125,12975.6904296875,4205.4501953125,15983.9697265625
2023-05-29,27745.884765625,1893.078125,12975.6904296875,4205.4501953125,15952.73046875
2023-05-30,27702.349609375,1901.026611328125,13017.4296875,4205.52001953125,15908.91015625
2023-05-31,27219.658203125,1874.1304931640625,12935.2900390625,4179.830078125,15664.01953125
2023-06-01,26819.97265625,1862.201416015625,13100.98046875,4221.02001953125,15853.66015625
2023-06-02,27249.58984375,1907.256591796875,13240.76953125,4282.3701171875,16051.23046875
2023-06-03,27075.12890625,1892.4124755859375,13240.76953125,4282.3701171875,16051.23046875
2023-06-04,27119.06640625,1890.5135498046875,13240.76953125,4282.3701171875,16051.23046875
2023-06-05,25760.09765625,1811.828369140625,13229.4296875,4273.7900390625,15963.8896484375
2023-06-06,27238.783203125,1884.494873046875,13276.419921875,4283.85009765625,15992.4404296875
2023-06-07,26345.998046875,1832.39599609375,13104.900390625,4267.52001953125,15960.5595703125
2023-06-08,26508.216796875,1846.3018798828125,13238.51953125,4293.93017578125,15989.9599609375
