datetime,usdt_mcap,usdc_mcap,total_stable_mcap
2026-02-01 00:00:00,185172123360.56732,70165928923.21927,255338052283.7866
2026-02-02 00:00:00,185167207996.4271,70278789633.51726,255445997629.94434
2026-02-03 00:00:00,185204055264.10693,70641107077.41772,255845162341.52466
2026-02-04 00:00:00,185108966305.29825,70764424031.34343,255873390336.64166
2026-02-05 00:00:00,185340237262.97598,70724659469.83084,256064896732.80682
2026-02-06 00:00:00,185398015856.29736,70621497254.34673,256019513110.6441
2026-02-07 00:00:00,185607175248.67572,72486291025.07703,258093466273.75275
2026-02-08 00:00:00,185609495020.07922,72663403646.94044,258272898667.01965
2026-02-09 00:00:00,184478793107.54248,72853256563.12044,257332049670.6629
2026-02-10 00:00:00,184439644113.59195,73017621342.34886,257457265455.9408
2026-02-11 00:00:00,184308875462.89185,73298558614.85742,257607434077.74927
2026-02-12 00:00:00,183911794652.42288,73327256816.46031,257239051468.88318
2026-02-13 00:00:00,183900181610.993,73161159172.6478,257061340783.6408
2026-02-14 00:00:00,183726133687.93607,73476716063.94586,257202849751.88193
2026-02-15 00:00:00,183758607357.15604,73538747787.5806,257297355144.73663
2026-02-16 00:00:00,183702555799.0948,73608499482.57,257311055281.6648
2026-02-17 00:00:00,183684801652.64395,73679064910.16641,257363866562.81036
2026-02-18 00:00:00,183684433314.5899,73499968672.9741,257184401987.56403
2026-02-19 00:00:00,183682918392.2768,73581990881.96634,257264909274.24313
2026-02-20 00:00:00,183665780089.60416,73854460914.97928,257520241004.58344
2026-02-21 00:00:00,183667839868.90802,74439728036.96278,258107567905.8708
2026-02-22 00:00:00,183686857339.718,74455440992.85896,258142298332.57697
2026-02-23 00:00:00,183570410393.52386,74435063995.43195,258005474388.9558
2026-02-24 00:00:00,183573059921.86572,74770549337.12044,258343609258.98615
2026-02-25 00:00:00,183635498180.31897,74927198039.54846,258562696219.86743
2026-02-26 00:00:00,183651184142.42084,75352262969.77148,259003447112.19232
2026-02-27 00:00:00,183544656646.3209,75314838727.91203,258859495374.2329
2026-02-28 00:00:00,183548842293.3003,75227319202.03062,258776161495.33093
2026-03-01 00:00:00,183647729221.63733,75184269623.3704,258831998845.00775
2026-03-02 00:00:00,183645907140.8536,75192261862.23296,258838169003.08655
2026-03-03 00:00:00,183642447577.10538,75933895612.55305,259576343189.65845
2026-03-04 00:00:00,183737853544.7725,76330431281.0647,260068284825.8372
2026-03-05 00:00:00,183736169646.39322,77066875508.36983,260803045154.76306
2026-03-06 00:00:00,184052260386.86688,77163682665.69066,261215943052.55756
2026-03-07 00:00:00,183962598573.74182,77338993283.97954,261301591857.72137
2026-03-08 00:00:00,183967956042.79846,77256826391.67438,261224782434.47284
2026-03-09 00:00:00,183914012338.90463,77239570378.56953,261153582717.47418
2026-03-10 00:00:00,183923185594.4979,78207613126.26581,262130798720.7637
2026-03-11 00:00:00,183929673067.4558,78672040314.52556,262601713381.98138
2026-03-12 00:00:00,183969617777.85583,78807446763.98502,262777064541.84085
2026-03-13 00:00:00,183981790166.302,78810170251.4458,262791960417.7478
2026-03-14 00:00:00,184028730143.92877,79209014629.64243,263237744773.5712
2026-03-15 00:00:00,184055828565.32678,79188577197.11958,263244405762.44635
2026-03-16 00:00:00,184052526756.51514,79149237129.9105,263201763886.42566
2026-03-17 00:00:00,184070605225.22406,79300229487.66437,263370834712.88843
2026-03-18 00:00:00,184120055571.37796,79617224110.07278,263737279681.45074
2026-03-19 00:00:00,184092877537.5607,79432600574.47002,263525478112.0307
2026-03-20 00:00:00,184116041386.90872,79240632955.95074,263356674342.85947
2026-03-21 00:00:00,184159671470.33096,79060219421.05858,263219890891.38953
2026-03-22 00:00:00,184140300990.1908,79017544107.28935,263157845097.48016
2026-03-23 00:00:00,184138080518.58176,78975467285.87347,263113547804.45523
2026-03-24 00:00:00,184132084541.98962,78647783334.62715,262779867876.61676
2026-03-25 00:00:00,184145914153.7079,78637661360.63583,262783575514.34372
2026-03-26 00:00:00,184145224850.51407,78651029793.18867,262796254643.70276
2026-03-27 00:00:00,184102704219.69037,78065824234.8928,262168528454.5832
2026-03-28 00:00:00,184086003521.34445,77752987029.2416,261838990550.58606
2026-03-29 00:00:00,184082179209.16235,77749073498.5849,261831252707.74725
2026-03-30 00:00:00,184072756198.06995,77718040003.31131,261790796201.38126
2026-03-31 00:00:00,184077685174.25375,77437649563.11867,261515334737.37244
2026-04-01 00:00:00,184059421031.63733,77143883325.30286,261203304356.9402
2026-04-02 00:00:00,184198985881.31918,77146050319.86108,261345036201.18027
2026-04-03 00:00:00,184157803213.5954,77191483582.91728,261349286796.5127
2026-04-04 00:00:00,184142428888.5738,77551428138.9955,261693857027.56927
2026-04-05 00:00:00,184154218737.5481,77509138422.18379,261663357159.73187
2026-04-06 00:00:00,184085324373.41238,77492224390.92285,261577548764.33524
2026-04-07 00:00:00,184140611563.24783,77852436113.92717,261993047677.175
2026-04-08 00:00:00,184118034614.8804,77801523706.03574,261919558320.91614
2026-04-09 00:00:00,184114355687.73486,78238941523.04596,262353297210.78082
2026-04-10 00:00:00,184104292584.66092,78355755574.5709,262460048159.2318
2026-04-11 00:00:00,184331139150.41266,78670006535.95605,263001145686.3687
2026-04-12 00:00:00,184329205001.80136,78635700243.44542,262964905245.24677
2026-04-13 00:00:00,184396863750.00598,78607553190.67357,263004416940.67957
2026-04-14 00:00:00,184721749492.03278,78751690956.77441,263473440448.8072
2026-04-15 00:00:00,185545387132.76224,78734877888.77649,264280265021.53873
2026-04-16 00:00:00,185508700610.16122,78573580321.15543,264082280931.31665
2026-04-17 00:00:00,185769882251.33258,78707562405.20102,264477444656.5336
2026-04-18 00:00:00,185853724937.5256,78525562335.56424,264379287273.08984
2026-04-19 00:00:00,186654268243.3042,78490540084.82683,265144808328.13104
2026-04-20 00:00:00,187273887838.11035,78250446506.5524,265524334344.66275
2026-04-21 00:00:00,187962983239.43045,78310274685.79256,266273257925.22302
2026-04-22 00:00:00,187954833518.58325,77882749357.4655,265837582876.04877
2026-04-22 12:29:17,188518534620.55695,77882749357.4655,266401283978.02246
2026-04-22 12:29:20,188518534620.55695,77922536404.10556,266441071024.6625
