date,active_addresses,mvrv,fees_native,exchange_inflow,exchange_outflow,hashrate,tx_count,exchange_netflow
2024-11-26,561936,1.3164163242440186,1518.279343284913,529169.1125523534,508382.7259465009,825.50624753,1265769,20786.386605852516
2024-11-27,598038,1.4223873804717173,1923.2673532590468,704115.3379437451,646432.1811295657,825.50624753,1275842,57683.15681417938
2024-11-28,616324,1.3852256887803525,1380.5949408421789,489258.6386344525,442218.20600656245,825.50624753,1256719,47040.432627890026
2024-11-29,589287,1.379016512477065,1350.7341511894983,497797.3801461041,506714.2322876496,825.50624753,1279446,-8916.852141545503
2024-11-30,551474,1.4016683757267456,1321.5854104726202,277404.60205190897,315822.88021953247,825.50624753,1232587,-38418.2781676235
2024-12-01,579646,1.3948234948445024,1728.5929790986424,213169.11170880892,259142.13390451812,825.50624753,1228535,-45973.0221957092
2024-12-02,592286,1.3635324007682224,3284.126123871133,772168.0530060809,882050.9383895338,825.50624753,1341788,-109882.88538345287
2024-12-03,583738,1.3534738383151312,3333.3659517494884,607677.9698114097,727995.3844692246,825.50624753,1349338,-120317.4146578149
2024-12-04,598566,1.4161333349574812,3175.589189614837,901318.202418243,880638.7485189278,825.50624753,1339995,20679.45389931521
2024-12-05,609650,1.3901681390503633,2854.9797397140856,775485.5757925177,798620.3269786123,825.50624753,1344520,-23134.751186094596
2024-12-06,603641,1.4455262952411196,2692.137107743483,897617.3499763628,855013.5574471686,825.50624753,1330997,42603.79252919415
2024-12-07,614603,1.4363129743960545,1672.5616490868304,308200.1493339081,319701.84065140504,825.50624753,1243988,-11501.691317496938
2024-12-08,593007,1.4281140862180683,1340.6978856438927,158265.5090336628,179980.83022393085,825.50624753,1224361,-21715.321190268063
2024-12-09,569276,1.3356834238206732,3446.8046202152873,663687.1209977691,627470.0306338455,825.50624753,1329408,36217.09036392358
2024-12-10,610919,1.3110950198072076,3241.555491791644,604233.5412313543,688677.525796666,825.50624753,1379827,-84443.9845653117
2024-12-11,595689,1.3721676645476777,2379.793805380927,944260.0945673033,735656.9307470054,825.50624753,1297795,208603.16382029792
2024-12-12,632555,1.379433959527071,2540.9623164728223,557077.4428335687,555366.9156882147,825.50624753,1350929,1710.5271453539608
2024-12-13,625658,1.3846253740051309,1892.3856204526264,593183.075487895,593197.4758625682,825.50624753,1280204,-14.400374673190527
